ID,Old ID,Feature (nl),Feature (en),Datatype,Relative importance,Variable description,Additional explanation,Mutability,Low,High,Continuous,N Unique All (test),Min (test),Max (test),Difficulty
1,1,adres_aantal_brp_adres,address_number_personal_records_database_addresses,int,6.370792221,"Number of different addresses of a customer, per type (e.g., BRP address, shipping address, etc.).",n/a,both,1,20,1,11,1,11,0.80
2,5,adres_dagen_op_adres,address_days_at_address,int,23.3291412,Number of days a customer lives at the current address.,n/a,increase,1,29200,1,9616,3,24326,0.00
3,6,adres_recentst_onderdeel_rdam,address_latest_part_rotterdam,int,1.403905574,The most recent address is in the municipality of Rotterdam (1.0),n/a,none,0,1,0,2,0,1,1.00
4,132,contacten_onderwerp_documenttype__overeenkomst_,contacts_subject_document_type_agreement,int,6.413527122,"Number of contacts that a customer has had with the municipality, per subject (e.g., work intake, diagnosis interview).",n/a,increase,0,60,1,8,0,7,0.30
5,135,contacten_onderwerp_inkomen,contacts_subject_income,int,5.287733715,"Number of contacts that a customer has had with the municipality, per subject (e.g., work intake, diagnosis interview).",n/a,increase,0,60,1,6,0,5,0.40
6,141,contacten_onderwerp_no_show,contacts_subject_no_show,int,27.87480154,"Number of contacts that a customer has had with the municipality, per subject (e.g., work intake, diagnosis interview).",n/a,none,0,60,1,7,0,6,1.00
7,143,contacten_onderwerp_overleg_met_inkomen,contacts_subject_consultation_with_income,int,24.10136742,"Number of contacts that a customer has had with the municipality, per subject (e.g., work intake, diagnosis interview).",n/a,increase,0,60,1,7,0,6,0.40
8,156,contacten_soort_afgelopenjaar_document__uitgaand_,contacts_type_last_year_document_outgoing,int,15.41383527,"Number of contacts that a customer has had with the municipality in the past 365 days, per type (e.g. email, conversation, etc.).",n/a,both,0,50,1,21,0,26,0.30
9,165,contacten_soort_document__inkomend_,contacts_type_document_incoming,int,6.787591953,"Number of contacts that a customer has had with the municipality, per type (e.g. email, conversation, etc.).",n/a,increase,0,200,1,37,0,37,0.30
10,180,instrument_ladder_historie_activering,instrument_ladder_history_activation,int,10.76043283,"Historical number of instruments deployed on behalf of the client, per type (e.g., Work/Reintegration, daytime activities, etc.).",n/a,increase,0,20,1,12,0,11,0.70
11,182,instrument_ladder_huidig_activering,instrument_ladder_current_activation,int,17.5047868,"Current number of instruments deployed on behalf of the customer, per type (e.g., Work/Reintegration, daytime activities, etc.).",n/a,both,0,10,1,4,0,3,0.70
12,201,instrument_reden_beeindiging_historie_succesvol,instrument_reason_termination_history_successful,int,7.379368591,"Historical number of terminated instruments used on behalf of the customer, by reason (e.g., successful, not successful, etc.).",n/a,increase,0,10,1,8,0,7,0.85
13,205,ontheffing_actueel_ind,exemption_current_ind,int,0.996944912,"Whether the customer currently has an exemption (1.0) (e.g. temporary exemption from employment obligations, because of your caregiving duties, etc.).",n/a,none,0,1,0,2,0,1,1.00
14,206,ontheffing_dagen_hist_mean,exemption_days_hist_mean,int,8.681531853,"Number of days when the customer has historically experienced barriers, per type (e.g., temporary exemption work obligations, due to your informal care tasks, etc.).",n/a,none,0,14200,1,2915,120,4710,1.00
15,207,ontheffing_dagen_hist_vanwege_uw_medische_omstandigheden,exemption_days_hist_due to_your_medical_conditions,int,13.817025,"Number of days when the customer has historically experienced barriers, per type (e.g., temporary exemption work obligations, due to your informal care tasks, etc.).",n/a,none,0,14200,1,4152,3,7526,1.00
16,212,ontheffing_reden_hist_tijdelijke_ontheffing_arbeidsverpl__en_tegenprestatie,exemption_reason_hist_temporary_dispensation_work_shift_and_compensation,int,6.640743019,"Number of exemptions that the customer has historically had, per type (e.g. temporary exemption from employment obligations, due to your caregiving duties, etc.).",n/a,none,0,10,1,3,0,2,1.00
